Randolf wears one skirt and that mother of Marcus wears at least as many white skirt . <eos>	[5.545644283294678, 5.360159873962402, 3.824857234954834, 3.703824281692505, 3.3856468200683594, 4.1902618408203125, 5.244014739990234, 4.79781436920166, 4.682974815368652, 4.635748863220215, 3.826127529144287, 3.628366470336914, 3.976667881011963, 3.8903801441192627, 3.6910829544067383, 5.362729072570801, 5.204218864440918, 3.2731477972447465e-07]	[2.5537118911743164, 12.572961807250977, 5.85637092590332, 7.462353706359863, 1.9780340194702148, 6.042078018188477, 9.985713958740234, 4.677675247192383, 10.605684280395508, 6.514888763427734, 6.200111389160156, 2.110757827758789, 4.416969299316406, 1.8904657363891602, 5.7169599533081055, 10.74337387084961, 3.746835708618164, -0.0]	Randolf wears one lost skirt and that mother of Marcus wears at least as many white . <eos>	[4.988274574279785, 6.399275302886963, 3.515080690383911, 3.3686318397521973, 6.31859016418457, 3.1178083419799805, 4.8673553466796875, 4.990665435791016, 4.548535346984863, 4.960442543029785, 4.512235641479492, 3.6100552082061768, 3.612131118774414, 3.931741237640381, 3.7935197353363037, 3.731729030609131, 5.253116607666016, 3.2694947549316566e-07]	[2.94036865234375, 10.342098236083984, 5.645769119262695, 13.26891803741455, 6.425250053405762, 1.562154769897461, 6.031633377075195, 10.288707733154297, 5.12602424621582, 10.442404747009277, 6.171710014343262, 6.3231611251831055, 1.8826847076416016, 4.194738388061523, 1.915151596069336, 6.064199447631836, 5.1593475341796875, -0.0]
Some pork could n't bother one plumber and Alice 's mothers could n't bother five exposed plumber . <eos>	[4.991161346435547, 6.33210563659668, 4.883222579956055, 2.80533504486084, 2.683863401412964, 4.449138164520264, 4.969496726989746, 2.9911036491394043, 5.502102851867676, 4.917674541473389, 6.281362056732178, 4.942756175994873, 3.870929718017578, 5.277863502502441, 3.789569854736328, 5.206327438354492, 6.118926048278809, 5.398164749145508, 2.7981238304164435e-07]	[5.216272354125977, 13.7377290725708, 8.354883193969727, 6.738070487976074, 9.845442771911621, 5.994536399841309, 12.81440544128418, 2.491893768310547, 10.116896629333496, 3.6120872497558594, 9.029613494873047, 4.154351234436035, 3.5731077194213867, 8.128778457641602, 9.637269973754883, 10.777624130249023, 13.28594970703125, 2.173673629760742, -0.0]	Some pork could n't bother one fast plumber and Alice 's mothers could n't bother five exposed . <eos>	[4.990311622619629, 6.336480140686035, 4.881356239318848, 2.8060760498046875, 2.682647705078125, 4.4485015869140625, 4.969282150268555, 5.1576619148254395, 3.011345386505127, 5.487339973449707, 4.854151725769043, 6.96044921875, 5.124604225158691, 4.294307231903076, 5.208288192749023, 3.8573594093322754, 5.197006702423096, 6.090280532836914, 2.9610868068630225e-07]	[5.219722747802734, 13.727972030639648, 8.356582641601562, 6.744351387023926, 9.844151496887207, 5.995899200439453, 9.114273071289062, 14.079086303710938, 2.5312442779541016, 10.850643157958984, 3.178356170654297, 8.698660850524902, 3.898303985595703, 3.4663572311401367, 8.003849983215332, 10.10281753540039, 10.727676391601562, 5.209739685058594, -0.0]
Rhonda has n't worked with four waitresses and some boy has n't worked with five small waitresses . <eos>	[4.9888105392456055, 6.102756023406982, 4.542686462402344, 4.650994300842285, 3.1174802780151367, 5.745550632476807, 5.088703632354736, 5.6071624755859375, 5.9311981201171875, 6.4612884521484375, 6.269240856170654, 5.288969039916992, 4.399829387664795, 3.382702350616455, 5.02623176574707, 4.432147979736328, 4.986089706420898, 4.752727031707764, 2.8315636768638797e-07]	[14.097213745117188, 4.751046180725098, 7.974701881408691, 4.7217559814453125, 1.6969470977783203, 8.358769416809082, 4.207243919372559, 3.363187789916992, 5.496800422668457, 9.225172996520996, 5.927586555480957, 5.44901180267334, 4.062051773071289, 1.6772575378417969, 9.12848949432373, 8.021157264709473, 3.404266357421875, 1.642679214477539, -0.0]	Rhonda has n't worked with four bad waitresses and some boy has n't worked with five small . <eos>	[4.989421844482422, 6.10352897644043, 4.542749881744385, 4.648200035095215, 3.117440700531006, 5.7438530921936035, 5.087923049926758, 4.1628265380859375, 4.424816131591797, 5.900742053985596, 6.456119537353516, 6.399447917938232, 5.23198127746582, 4.3907270431518555, 3.438676118850708, 4.7816596031188965, 4.470728397369385, 4.990728855133057, 2.934672806986782e-07]	[14.091484069824219, 4.744062423706055, 7.971132278442383, 4.722886085510254, 1.6972122192382812, 8.35905647277832, 9.699246406555176, 4.80776309967041, 2.677668571472168, 5.325682640075684, 9.114239692687988, 5.045513153076172, 5.076413154602051, 4.666563034057617, 1.662109375, 9.580941200256348, 8.020315170288086, 6.721160888671875, -0.0]
Sharon has n't impressed five museums and every spotlight has n't impressed four clean museums . <eos>	[4.991158485412598, 5.663027763366699, 4.603706359863281, 4.617027759552002, 4.734894275665283, 5.263680458068848, 3.479987621307373, 5.040258407592773, 5.972722053527832, 4.161504745483398, 4.811645030975342, 3.209498405456543, 3.254477024078369, 5.042423248291016, 4.531600475311279, 2.872927665710449, 2.7840468419526587e-07]	[10.630824089050293, 3.778693199157715, 7.545475959777832, 8.487913131713867, 10.988264083862305, 10.98416519165039, 2.5143861770629883, 7.405791282653809, 13.388742446899414, 2.249523162841797, 6.1048383712768555, 9.075419425964355, 10.80218505859375, 11.754265785217285, 7.27531623840332, 0.9274272918701172, -0.0]	Sharon has n't impressed five bad museums and every spotlight has n't impressed four clean . <eos>	[4.992257118225098, 5.660698890686035, 4.60317325592041, 4.616344451904297, 4.734801292419434, 5.26397180557251, 3.7844791412353516, 3.2669777870178223, 5.493870735168457, 6.074803352355957, 4.323780536651611, 4.9989399909973145, 3.465333938598633, 3.3610754013061523, 4.94874382019043, 3.8260610103607178, 2.9768438025712385e-07]	[10.626014709472656, 3.7756519317626953, 7.547877311706543, 8.48706340789795, 10.988147735595703, 9.041374206542969, 14.668767929077148, 2.40460205078125, 7.475908279418945, 13.120429992675781, 2.4657669067382812, 5.267951965332031, 9.262307167053223, 10.908855438232422, 11.266140937805176, 5.024694442749023, -0.0]
Companies had n't discussed one cafe and the lady had n't discussed four exposed cafe . <eos>	[4.993678092956543, 5.009459495544434, 5.147926330566406, 5.57680082321167, 4.113543510437012, 3.7467143535614014, 3.8900296688079834, 5.822151184082031, 7.15485143661499, 4.776607036590576, 5.238157272338867, 4.781630516052246, 3.6730539798736572, 5.511432647705078, 6.565143585205078, 5.49000358581543, 2.856991727639979e-07]	[9.911482810974121, 5.687661170959473, 7.450929641723633, 7.78662109375, 7.102113723754883, 14.89535903930664, 2.9687557220458984, 2.9336366653442383, 9.45452880859375, 2.234602928161621, 5.371581077575684, 7.173591613769531, 10.128108978271484, 11.713462829589844, 11.886677742004395, 3.3675403594970703, -0.0]	Companies had n't discussed one hard cafe and the lady had n't discussed four exposed . <eos>	[4.989151954650879, 5.009881496429443, 5.1506524085998535, 5.577125549316406, 4.113157749176025, 3.7453505992889404, 5.587182998657227, 4.889585018157959, 5.935154914855957, 7.140653610229492, 5.166959285736084, 5.236428260803223, 4.636041164398193, 3.711040496826172, 5.508657455444336, 6.630560874938965, 2.8962182341274456e-07]	[9.914274215698242, 5.6839141845703125, 7.4503374099731445, 7.786676406860352, 7.102719306945801, 8.977781295776367, 14.325401306152344, 3.1598072052001953, 3.179377555847168, 10.321632385253906, 2.6509037017822266, 4.782944679260254, 7.557685852050781, 10.047842025756836, 11.690735816955566, 7.750700950622559, -0.0]
Lisa noticed one convertible and every customer noticed three new convertible . <eos>	[4.991598129272461, 6.031983375549316, 2.934446334838867, 3.957451343536377, 5.441411972045898, 5.7610182762146, 6.020297050476074, 4.918878555297852, 3.2861342430114746, 6.610600471496582, 6.306718826293945, 5.616014003753662, 2.866538579837652e-07]	[9.92803955078125, 10.028421401977539, 6.179372787475586, 14.019050598144531, 2.733883857727051, 8.468725204467773, 7.794780731201172, 8.167016983032227, 8.512813568115234, 4.496935844421387, 7.85438346862793, 5.811866760253906, -0.0]	Lisa noticed one cheap convertible and every customer noticed three new . <eos>	[4.986396789550781, 6.030215740203857, 2.932295799255371, 3.9591283798217773, 6.739004611968994, 6.1798529624938965, 5.80495548248291, 6.377861499786377, 4.706488609313965, 3.5441112518310547, 6.629302024841309, 6.181751251220703, 2.9229579467937583e-07]	[9.932306289672852, 10.025472640991211, 6.178769111633301, 14.450578689575195, 8.658026695251465, 3.5861167907714844, 7.895564079284668, 6.851736068725586, 8.909082412719727, 8.707735061645508, 4.079710006713867, 7.687697410583496, -0.0]
Anna argued about one colleague and Tamara argued about more serious colleague . <eos>	[4.989017009735107, 5.654091835021973, 1.040439486503601, 4.062533378601074, 3.7711033821105957, 4.074128150939941, 5.616944313049316, 5.252679824829102, 1.853151559829712, 3.822378635406494, 5.439245223999023, 5.325143337249756, 5.785859107971191, 2.7109348366138875e-07]	[9.891093254089355, 9.275057792663574, 6.618955612182617, 7.124479293823242, 11.729795455932617, 2.8722124099731445, 12.246330261230469, 7.787134647369385, 5.309776306152344, 8.328512191772461, 5.005084991455078, 15.107048034667969, 4.06059455871582, -0.0]	Anna argued about one long colleague and Tamara argued about more serious . <eos>	[4.990932941436768, 5.655928611755371, 1.0414667129516602, 4.062450408935547, 3.7698051929473877, 5.989404201507568, 3.8747501373291016, 5.920804500579834, 4.573787212371826, 1.9673354625701904, 4.120095252990723, 5.445497512817383, 5.425166130065918, 2.927251330220315e-07]	[9.9008207321167, 9.27783203125, 6.618475914001465, 7.126453876495361, 8.23730754852295, 13.111210823059082, 3.3025970458984375, 11.638047218322754, 8.906417846679688, 5.087991714477539, 7.946262836456299, 4.826062202453613, 8.079184532165527, -0.0]
Judy 's grandson was concealing one nephew and Dawn was concealing a lot nice nephew . <eos>	[4.9941840171813965, 5.244070053100586, 7.352579116821289, 3.166962146759033, 5.244140625, 4.419178009033203, 2.3857030868530273, 3.1989550590515137, 5.088154315948486, 4.204809665679932, 5.491919040679932, 4.142813205718994, 6.708856582641602, 1.0895159244537354, 3.767476797103882, 3.762291669845581, 2.819723761149362e-07]	[11.420994758605957, 3.7173080444335938, 8.18574047088623, 4.4205522537231445, 16.157873153686523, 5.615939140319824, 11.021258354187012, 2.341787338256836, 11.006050109863281, 3.51461124420166, 11.586868286132812, 2.423079490661621, 6.598782539367676, 14.936328887939453, 13.613378524780273, 1.5088825225830078, -0.0]	Judy 's grandson was concealing one determined nephew and Dawn was concealing a lot nice . <eos>	[4.992717742919922, 5.242169380187988, 7.352248668670654, 3.1688013076782227, 5.243768215179443, 4.418304920196533, 2.385084390640259, 6.336131572723389, 3.418256998062134, 5.68363094329834, 3.6561522483825684, 5.72572135925293, 4.102615833282471, 6.68820858001709, 1.1016490459442139, 3.939316987991333, 2.796846274577547e-07]	[11.407622337341309, 3.7145566940307617, 8.18525505065918, 4.418461799621582, 16.159299850463867, 5.615497589111328, 13.64166259765625, 9.315521240234375, 2.273280143737793, 10.696534156799316, 4.672931671142578, 11.591081619262695, 2.669931411743164, 6.602268218994141, 15.075826644897461, 1.7496891021728516, -0.0]
Andrea escapes from one daughter of and Leslie escapes from four serious daughter of . <eos>	[4.995468616485596, 4.694589614868164, 3.65665864944458, 3.325150966644287, 3.4050705432891846, 3.1843740940093994, 3.0741472244262695, 5.4868011474609375, 3.8254823684692383, 3.1873059272766113, 3.278494358062744, 6.539166450500488, 5.720063209533691, 5.7857489585876465, 4.887973785400391, 2.7495141807776236e-07]	[11.669425964355469, 7.593995094299316, 1.5412368774414062, 7.1952972412109375, 11.06419849395752, 5.818558692932129, 11.171762466430664, 11.954896926879883, 9.823532104492188, 1.5830345153808594, 9.69517707824707, 8.419928550720215, 10.813642501831055, 7.241805076599121, 9.71654224395752, -0.0]	Andrea escapes from one nice daughter of and Leslie escapes from four serious . <eos>	[4.992426872253418, 4.691812515258789, 3.655635356903076, 3.325289726257324, 3.403834342956543, 5.657106399536133, 3.2603421211242676, 3.8898658752441406, 6.173856258392334, 4.128556251525879, 3.210545063018799, 3.0816988945007324, 6.538167953491211, 5.774382591247559, 3.0327180411404697e-07]	[11.674201965332031, 7.586872577667236, 1.5398454666137695, 7.195730209350586, 14.170125961303711, 9.503182411193848, 5.137961387634277, 9.401175498962402, 11.285902976989746, 8.85142707824707, 1.575002670288086, 9.724842071533203, 8.48652458190918, 8.093047142028809, -0.0]
Some pedestrian had concealed one jacket and Veronica had concealed many blue jacket . <eos>	[4.98829460144043, 6.333425521850586, 4.842399597167969, 5.074721336364746, 5.923985004425049, 5.059015274047852, 3.8959574699401855, 4.0628557205200195, 4.85086727142334, 5.130053997039795, 4.044012069702148, 5.255420684814453, 5.665703296661377, 5.6653923988342285, 2.904654934354767e-07]	[5.214751243591309, 10.084379196166992, 10.844078063964844, 9.739048957824707, 6.332326889038086, 12.091357231140137, 2.08945369720459, 12.881658554077148, 2.6888484954833984, 7.042657852172852, 6.871769905090332, 8.3934965133667, 7.388337135314941, 2.235476493835449, -0.0]	Some pedestrian had concealed one hidden jacket and Veronica had concealed many blue . <eos>	[4.988370895385742, 6.3341193199157715, 4.839729309082031, 5.074335098266602, 5.925065517425537, 5.060735702514648, 6.211981773376465, 3.6137149333953857, 4.827569961547852, 4.601064682006836, 5.015851974487305, 3.892303943634033, 4.998665809631348, 5.681609153747559, 2.91676002461827e-07]	[5.215462684631348, 10.084366798400879, 10.856200218200684, 9.73522663116455, 6.332024574279785, 7.821440696716309, 10.140026092529297, 2.230680465698242, 12.557533264160156, 3.341581344604492, 7.201421737670898, 7.0178680419921875, 8.846403121948242, 4.280580520629883, -0.0]
Kenneth could attack one doctor and this friend of Barbara could attack three hidden doctor . <eos>	[4.988940238952637, 6.340060710906982, 3.585444688796997, 4.894350051879883, 3.4311130046844482, 3.633011817932129, 5.88501501083374, 5.851673603057861, 4.550393104553223, 4.333016872406006, 4.955820560455322, 4.890658378601074, 4.124278545379639, 5.827488899230957, 6.652220726013184, 3.7332491874694824, 2.834026986420213e-07]	[10.065601348876953, 9.948022842407227, 8.413012504577637, 5.291338920593262, 9.623496055603027, 2.1161861419677734, 5.764368057250977, 7.855558395385742, 3.6933650970458984, 9.893957138061523, 5.436439514160156, 6.593693733215332, 7.499068260192871, 10.926407814025879, 9.789599418640137, 1.9986495971679688, -0.0]	Kenneth could attack one popular doctor and this friend of Barbara could attack three hidden . <eos>	[4.98965311050415, 6.343531608581543, 3.582747220993042, 4.8928680419921875, 3.425912618637085, 6.713137626647949, 3.7614212036132812, 5.948716163635254, 5.66085958480835, 4.490393161773682, 4.567365646362305, 5.092733383178711, 4.930497169494629, 4.219937324523926, 5.895990371704102, 6.699352264404297, 2.9258001177367987e-07]	[10.066620826721191, 9.949281692504883, 8.406268119812012, 5.295358657836914, 11.257474899291992, 8.203426361083984, 2.4431066513061523, 5.837733268737793, 7.85762882232666, 3.684138298034668, 9.248283386230469, 4.8972930908203125, 6.698050498962402, 7.61624002456665, 10.874734878540039, 4.852758407592773, -0.0]
Jane knows one dermatologist and Ruth knows few smart dermatologist . <eos>	[4.990159034729004, 5.872923851013184, 3.6574716567993164, 3.4537012577056885, 5.348675727844238, 5.877610683441162, 5.16352653503418, 3.4270243644714355, 5.319568634033203, 5.252935409545898, 4.716002464294434, 2.894180965995474e-07]	[9.656744003295898, 7.670563697814941, 7.0225677490234375, 5.382020950317383, 2.5230703353881836, 8.774636268615723, 4.905429840087891, 11.537281036376953, 10.396628379821777, 4.565888404846191, 1.7726974487304688, -0.0]	Jane knows one standing dermatologist and Ruth knows few smart . <eos>	[4.9931230545043945, 5.875019073486328, 3.654715061187744, 3.4530935287475586, 5.526937484741211, 4.447319030761719, 5.949435710906982, 5.32648229598999, 3.3272624015808105, 5.465634346008301, 5.45621395111084, 2.9923242550466966e-07]	[9.644710540771484, 7.667348861694336, 7.025720596313477, 13.012083053588867, 4.061585426330566, 2.1496686935424805, 9.077863693237305, 6.185159683227539, 11.723236083984375, 10.131160736083984, 7.143267631530762, -0.0]
This customer should n't wear three gloves and that actress 's ex-husbands should n't wear fewer new gloves . <eos>	[4.993664741516113, 6.142739295959473, 4.965559005737305, 4.4693989753723145, 4.88342809677124, 4.16969108581543, 5.844931602478027, 3.350464344024658, 5.575514316558838, 5.031032562255859, 4.545737266540527, 6.230279922485352, 5.559786796569824, 2.9258460998535156, 3.1751224994659424, 4.429920196533203, 5.168160438537598, 4.169142723083496, 2.5066704750061035, 2.8017788622491935e-07]	[3.5929031372070312, 11.435848236083984, 6.2885589599609375, 4.990433692932129, 6.96478271484375, 7.583066940307617, 6.1112260818481445, 2.3067989349365234, 5.437675476074219, 13.733556747436523, 1.5750808715820312, 3.20810604095459, 4.3508501052856445, 4.844067573547363, 4.060009002685547, 10.124835014343262, 7.5590009689331055, 4.191744804382324, 0.9355430603027344, -0.0]	This customer should n't wear three green gloves and that actress 's ex-husbands should n't wear fewer new . <eos>	[4.990899085998535, 6.141735076904297, 4.96192741394043, 4.4686126708984375, 4.88325834274292, 4.169328689575195, 5.844935894012451, 5.214675426483154, 3.2681732177734375, 5.93157958984375, 5.48311710357666, 4.8301849365234375, 6.219174861907959, 5.689833164215088, 2.997124195098877, 3.208085536956787, 4.4926018714904785, 5.216900825500488, 4.187525749206543, 3.036613520635001e-07]	[3.592052459716797, 11.431779861450195, 6.2871599197387695, 4.99193000793457, 6.960714340209961, 7.582903861999512, 5.272878646850586, 5.972283363342285, 2.2200260162353516, 5.471343994140625, 13.359708786010742, 2.181490898132324, 3.2806625366210938, 4.482819557189941, 4.890019416809082, 3.5852222442626953, 10.290861129760742, 7.383223533630371, 7.86350154876709, -0.0]
Roger watched one contractor and every doctor watched several ill contractor . <eos>	[4.991969108581543, 2.7605626583099365, 4.51722526550293, 3.096713066101074, 5.4601240158081055, 6.0806884765625, 5.830209732055664, 5.317106246948242, 3.6075212955474854, 6.427443981170654, 3.0734081268310547, 5.885851860046387, 2.8028202336827235e-07]	[8.76511001586914, 12.510039329528809, 5.213379859924316, 15.109509468078613, 2.6464786529541016, 8.069730758666992, 9.071374893188477, 7.988292694091797, 7.007257461547852, 11.85902214050293, 14.931587219238281, 2.303739547729492, -0.0]	Roger watched one displeased contractor and every doctor watched several ill . <eos>	[4.990339279174805, 2.758051633834839, 4.5157599449157715, 3.095931053161621, 4.939212799072266, 4.389519691467285, 6.448916435241699, 5.983275890350342, 5.356629371643066, 3.4130873680114746, 6.430863380432129, 2.8768057823181152, 2.819477060711506e-07]	[8.768424034118652, 12.509681701660156, 5.211208343505859, 14.345377922058105, 16.305889129638672, 2.368692398071289, 9.051617622375488, 8.007369041442871, 8.009284019470215, 6.926366806030273, 11.230859756469727, 5.40120792388916, -0.0]
